userId,movieId,rating,retailerId
9,47,4,7
14,45,4,7
23,121,3,15
44,49,2,7
42,7,4,2
48,90,4,12
27,149,4,20
38,125,4,16
31,63,0.5,9
10,28,5,5
42,4,4,2
2,100,3,14
9,111,5,15
44,114,3,15
44,10,5,3
22,112,5,15
50,129,3,16
38,47,3,7
3,3,4,1
25,128,5,16
32,136,5,17
28,27,4.5,4
41,90,5,12
36,12,3,3
43,104,4,14
47,87,4,11
29,82,2,11
7,110,5,15
43,50,4,8
11,117,5,15
16,7,5,2
46,87,2,11
27,88,4,11
48,89,1,11
46,72,5,11
29,66,4,9
39,82,4,11
41,38,4,7
13,131,5,16
40,89,5,11
38,103,4,14
13,34,4,6
11,136,5,17
42,62,4,9
12,110,3,15
13,18,4,3
43,119,5,15
3,132,5,17
30,54,0.5,8
27,128,4,16
23,119,5,15
20,17,4,3
44,10,4,3
45,22,4,3
31,8,0.5,2
32,58,0.5,9
8,110,3,15
39,82,5,11
9,74,5,11
36,27,3,4
31,110,0.5,15
1,79,4,11
2,30,5,5
26,115,5,15
21,38,5,7
12,3,5,1
2,68,3,10
31,142,0.5,18
37,55,5,8
39,23,3,3
17,9,4,2
12,77,4,11
42,121,5,15
50,65,2,9
24,130,5,16
35,115,3,15
16,91,4,12
40,88,5,11
32,47,0.5,7
23,105,5,14
29,64,3,9
43,128,3,16
13,145,4,19
22,93,5,12
11,99,5,13
39,120,5,15
6,92,5,12
41,100,5,14
8,82,5,11
36,42,5,7
47,99,5,13
22,20,5,3
49,48,1,7
20,51,4,8
43,116,4,15
39,145,2,19
49,118,2,15
25,79,4,11
16,129,2,16
9,47,5,7
16,67,5,10
30,16,5,3
14,107,5,14
40,148,5,20
17,85,3,11
47,60,4,9
12,133,4,17
49,23,5,3
50,43,4,7
27,81,4,11
2,81,5,11
3,66,5,9
30,42,0.5,7
11,48,4,7
31,45,5,7
49,57,4,9
3,80,4,11
3,127,3,16
27,1,4,1
47,116,4,15
20,77,4,11
17,80,5,11
11,50,5,8
12,126,3,16
32,38,5,7
7,107,5,14
9,140,5,18
47,38,2,7
28,132,3,17
29,146,2.5,20
2,40,5,7
37,121,4,15
49,13,4,3
46,19,5,3
